LAT1:*;-10,15618889;;;;;;
LON1:*;-48,29239444;;;;;;
AZIMUTH*;PROT*;C1*;C2*;C3*;;;
0;35915;23468;35951;60228;; -47.999999999943,-9.67580472244541 ;C: -9.740848496159662,-48.04187046994603
30;13850;8725;13850;26993;; -47.9369335642903,-9.89167965182087 ;
60;13780;8681;13780;26863;; -47.8912135962451,-9.9377122755468 ;
90;26636;17092;26626;48441;; -47.7570581007625,-9.99991134187516 ;
120;23904;15309;23906;44170;; -47.811190789528,-10.1079648916839 ;
150;33903;21912;33903;57462;; -47.8454436502736,-10.2651013988168 ;
180;41415;27616;41415;67525;; -47.9999999899193,-10.3738371105805 ;
210;41358;27604;41358;67391;; -48.18857644579,-10.3233848999879 ;
240;43195;29034;43915;69507;; -48.3412740768529,-10.1950154752189 ;
270;44532;30091;44532;71011;; -48.406167786002,-9.99975221233666 ;
300;44420;30006;44420;70879;; -48.3505266512226,-9.79908796338036 ;
330;42607;28628;42607;69269;; -48.1938806293654,-9.66673315005453 ;
360;35915;23468;35951;60228;; -48.0000000174464,-9.67580472244541 ;
